line_id,EMIR band,freq,Calibration error (%),"Noise RMS (K) [1 min, IPWV=0mm]","Noise RMS (K) [1 min, IPWV=1mm]","Noise RMS (K) [1 min, IPWV=2mm]"
hcop_j1__j0,E090,89.18072984784203,5.0,0.0885759009657438,0.09172654741078162,0.09813065791450488
c_c3h2_j6_ka5_kc2__j6_ka4_kc3,E090,90.34396953265428,5.0,0.08764409747204217,0.09085419640892307,0.09738196766579292
hnc_j1__j0,E090,90.6635732652746,5.0,0.0874069170804153,0.0906336201979874,0.0971959439260023
c_c3h2_j8_ka8_kc0__j8_ka7_kc1,E090,93.14741786696902,5.0,0.08588194922870791,0.08924255556608951,0.09608369243170037
c_c3h2_j7_ka7_kc1__j7_ka6_kc2,E090,93.161893066274,5.0,0.08587665005963137,0.08923808749163521,0.09608095420483531
c_c3h2_j7_ka6_kc2__j7_ka5_kc3,E090,94.61386578227822,5.0,0.08510620049914798,0.08854889963262082,0.09556120695278163
cs_j2__j1,E090,98.1613126899962,5.0,0.08382978152478857,0.08748104313206916,0.09492887060229142
so_n2_j3__n1_j2,E090,99.29987577514692,5.0,0.08368745262581874,0.08740892863725672,0.09500352530603262
so_n5_j4__n4_j4,E090,100.02964564644944,5.0,0.08362083197345972,0.08738939598874315,0.09508247895278948
c_c3h2_j8_ka7_kc2__j8_ka6_kc3,E090,100.400653318447,5.0,0.08367317810057638,0.0874666410593826,0.09521176813340679
13c_18o_j1__j0,E090,104.7040110947211,5.0,0.08381746129540539,0.08790167636310925,0.09625614976795764
c_c3h2_j8_ka8_kc1__j8_ka7_kc2,E090,104.9040238853478,5.0,0.08395136351513167,0.08805137545202064,0.09643891883327728
c_c3h2_j8_ka5_kc3__j8_ka4_kc4,E090,108.22673327018732,5.0,0.08818855683075338,0.09259064728246423,0.10160999313258004
so_n3_j2__n2_j1,E090,109.2522262332991,5.0,0.09091032435266472,0.09543267872690252,0.1047029514974175
c_18o_j1__j0,E090,109.788146160813,5.0,0.09276132459616647,0.0973547814667586,0.10677323476312875
13c_o_j1__j0,E090,110.20487854327956,5.0,0.09440591651774692,0.0990587546510486,0.10860088217404577
c_c3h2_j7_ka4_kc3__j7_ka3_kc4,E090,112.49062857350371,5.0,0.10991883944512715,0.11502289444935257,0.12550221067690562
cn_n1_j0d5__n0_j0d5,E090,113.16867883064928,5.0,0.11918966419118207,0.12451662615586775,0.1354573435646728
cn_n1_j1d5__n0_j0d5,E090,113.49492694437564,5.0,0.12513802595032741,0.1306007073370782,0.1418220299552627
co_v1_j1__v1_j0,E090,114.2263460340818,5.0,0.1440670171048337,0.14994129162505537,0.1620126366308744
c_c3h2_j4_ka2_kc3__j3_ka3_kc0,E090,114.42822786944387,5.0,0.1513228500845669,0.15734972696961574,0.16973594816892892
c_c3h2_j6_ka3_kc3__j6_ka2_kc4,E090,115.23174832903484,5.0,0.19616426673221632,0.2031059279242211,0.2173782045801366
co_v0_j1__v0_j0,E090,115.26817699024816,5.0,0.1990588071070269,0.206058586623498,0.22045065508566605
c_c3h2_j5_ka2_kc3__j5_ka1_kc4,E090,116.77064100171202,5.0,0.5995151448599767,0.6143594245885854,0.6449052157141602
so_n7_j7__n7_j6,E150,126.35723899157574,7.5,0.10154170341242451,0.10773103743481875,0.12053648367223244
so_n3_j3__n2_j2,E150,129.13893035330045,7.5,0.08982034765094334,0.09600594931996274,0.10882601200006069
so_n8_j8__n8_j7,E150,129.95366570640218,7.5,0.08789572902515813,0.09411441427568563,0.10700987099327787
so_n9_j9__n9_j8,E150,132.7551747765751,7.5,0.08361202693219208,0.09000343602279573,0.10328211848156042
so_n10_j10__n10_j9,E150,134.98397978529854,7.5,0.08154463606723092,0.0881132318436232,0.10178167960656039
so_n6_j5__n5_j5,E150,136.63480677590624,7.5,0.08073714191295663,0.08746175351909156,0.10147204061980779
so_n11_j11__n11_j10,E150,136.78836432419754,7.5,0.08120923209274238,0.08796377677182193,0.1020380671792138
so_n3_j4__n2_j3,E150,138.17860793095034,7.5,0.07953504068496955,0.08639836469257402,0.10071473628309306
so_n12_j12__n12_j11,E150,138.27043949548303,7.5,0.07949151870565699,0.08636405028640882,0.10070066252896684
so_n13_j13__n13_j12,E150,139.50251836909018,7.5,0.07897030385547686,0.08597032360703485,0.1005873646891281
so_n14_j14__n14_j13,E150,140.53709568140735,7.5,0.07869460586043386,0.08580987026405303,0.10068032400725667
so_n15_j15__n15_j14,E150,141.4131202827308,7.5,0.07874536680253946,0.08596959378128545,0.10107907510914894
so_n16_j16__n16_j15,E150,142.16005473576857,7.5,0.09351863375771462,0.10128957291084362,0.11755313503047124
so_n17_j17__n17_j16,E150,142.80057157415487,7.5,0.07851988779444848,0.08591360515394841,0.10139656675372917
so_n18_j18__n18_j17,E150,143.35238692493317,7.5,0.0779573409494488,0.08540585086287472,0.10101141141231433
so_n19_j19__n19_j18,E150,143.8295357096464,7.5,0.07775542944952184,0.08526116148145334,0.10099358520301055
so_n20_j20__n20_j19,E150,144.24327303648016,7.5,0.07771267807610922,0.0852730522847846,0.10112619811090963
so_n21_j21__n21_j20,E150,144.60272680317382,7.5,0.07797844685751261,0.0855967305560069,0.10157680046976897
so_n22_j22__n22_j21,E150,144.91537527233078,7.5,0.08378955504965843,0.09163961591281373,0.1081108525845315
c_c3h2_j3_ka1_kc2__j2_ka2_kc1,E150,145.08942542716363,7.5,0.0784277178136535,0.08612860594669923,0.10228959201884151
so_n23_j23__n23_j22,E150,145.1874002521125,7.5,0.07796213304319898,0.08566172763564643,0.10182155604364126
so_n24_j24__n24_j23,E150,145.42395651372394,7.5,0.0775314206894078,0.08525056077687071,0.1014552020363017
cs_j3__j2,E150,147.23155072543267,7.5,0.07688026790995654,0.08484491827964859,0.10159611223637413
c_c3h2_j8_ka4_kc4__j8_ka3_kc5,E150,149.15058459373392,7.5,0.07683024105522425,0.08510098793726148,0.10253324202038777
c_c3h2_j8_ka5_kc4__j8_ka4_kc5,E150,150.01919448414233,7.5,0.0766279064110459,0.08504024475477992,0.10278925475919747
c_c3h2_j7_ka3_kc4__j7_ka2_kc5,E150,150.2832986315305,7.5,0.0766593164751529,0.0851194615091268,0.10297511546387848
c_c3h2_j2_ka2_kc0__j1_ka1_kc1,E150,150.43636651927238,7.5,0.07668929450272792,0.08517788850446112,0.10309698079494561
c_c3h2_j7_ka4_kc4__j7_ka3_kc5,E150,150.58443570208658,7.5,0.07672752718175978,0.08524420419054231,0.10322590226210644
c_c3h2_j4_ka0_kc4__j3_ka1_kc3,E150,150.82047709083946,7.5,0.07673003734099104,0.0852897996140654,0.10336784640543416
c_c3h2_j4_ka1_kc4__j3_ka0_kc3,E150,150.85171951755297,7.5,0.0767119264950646,0.0852767537252975,0.10336621149207488
c_c3h2_j6_ka2_kc4__j6_ka1_kc5,E150,150.9545023923645,7.5,0.07665868600180091,0.0852404730083553,0.10336812693689792
c_c3h2_j6_ka3_kc4__j6_ka2_kc5,E150,151.03898446460005,7.5,0.0766189784768265,0.08521493183149975,0.10337447165625847
c_c3h2_j5_ka1_kc4__j5_ka0_kc5,E150,151.34368876435002,7.5,0.07649696145940736,0.08514537427756119,0.10342294735867842
c_c3h2_j5_ka2_kc4__j5_ka1_kc5,E150,151.36091648104122,7.5,0.07649099914614226,0.08514243942123682,0.10342682497909376
c_c3h2_j3_ka2_kc2__j2_ka1_kc1,E150,155.51810954148897,7.5,0.07606491031255298,0.08559687841134286,0.10586703223658725
so_n4_j3__n3_j2,E150,158.97182020932016,7.5,0.07613135605732041,0.08665844920079276,0.10919650500038547
c_c3h2_j5_ka5_kc0__j5_ka2_kc3,E150,165.88407751591495,7.5,0.08475100344710687,0.09934239401594788,0.13132450122525693
c_c3h2_j6_ka3_kc4__j5_ka4_kc1,E150,166.55624184489054,7.5,0.07881203259106277,0.09359566152328659,0.12611804148380962
so_n26_j26__n26_j27,E150,170.7104663122118,7.5,0.08276122031948283,0.1034608874049967,0.15064683139816137
so_n25_j25__n25_j26,E150,170.809411290147,7.5,0.0829319254000583,0.10385112555916379,0.15159794996105944
so_n24_j24__n24_j25,E150,170.93125508740022,7.5,0.08315089990032737,0.1043482783809933,0.1528074740166502
so_n23_j23__n23_j24,E150,171.0786718756697,7.5,0.08343292281078829,0.10497929223525597,0.15433471159407547
so_n22_j22__n22_j23,E150,171.25478339723242,7.5,0.08379136579474074,0.10577310852123076,0.15625061703993323
so_n21_j21__n21_j22,E150,171.46325377156128,7.5,0.08429044253679216,0.10681944528667894,0.15871253215108627
so_n20_j20__n20_j21,E150,171.7084143066735,7.5,0.08469934620286278,0.10789108880770926,0.16151452671472064
so_n19_j19__n19_j20,E150,171.99541914867535,7.5,0.08534313072487888,0.10938210635846592,0.16522968510168606
so_n4_j4__n3_j3,E150,172.18141327032208,7.5,0.08580033855308701,0.11042723994545005,0.16782823834539576
so_n18_j18__n18_j19,E150,172.33045073082698,7.5,0.08618693291629106,0.11130845221490482,0.17002279522298294
so_n17_j17__n17_j18,E150,172.7209868989993,7.5,0.08729699045077778,0.1138245745167106,0.1763044148266599
so_n16_j16__n16_j17,E150,173.1761551341993,7.5,0.08884558355309313,0.1172496847644098,0.18482576116894814
so_n15_j15__n15_j16,E150,173.7072117948098,7.5,0.09089526772249436,0.12186392477956899,0.19654249589204986
so_n14_j14__n14_j15,E150,174.32819076054275,7.5,0.09356058869628552,0.12816155126880227,0.21317808388148538
c2h_n2d0_j2d5_f2d0__n1d0_j0d5_f1d0,E150,174.5495398324194,7.5,0.0947705748544115,0.13089649388032085,0.22033813944739322
c2h_n2d0_j2d5_f2d0__n1d0_j1d5_f2d0,E150,174.63464283590477,7.5,0.09526395603700841,0.1320120238065778,0.22327412263786744
c2h_n2d0_j2d5_f3d0__n1d0_j1d5_f2d0,E150,174.6629806379125,7.5,0.0954352121156607,0.13239562567113616,0.22428084623525396
c2h_n2d0_j2d5_f2d0__n1d0_j1d5_f1d0,E150,174.66741050313817,7.5,0.09546227897358231,0.1324561216766069,0.22443951678188823
c2h_n2d0_j1d5_f2d0__n1d0_j0d5_f1d0,E150,174.72152528666334,7.5,0.09579898583023463,0.13320637870682708,0.22640624492427464
c2h_n2d0_j1d5_f1d0__n1d0_j0d5_f0d0,E150,174.7278533678911,7.5,0.09583916976042918,0.13329557087416444,0.22663981401298722
c2h_n2d0_j1d5_f1d0__n1d0_j0d5_f1d0,E150,174.7329916781669,7.5,0.09587193930535212,0.13336823645240406,0.22683005717325946
c2h_n2d0_j1d5_f2d0__n1d0_j1d5_f2d0,E150,174.80662620648684,7.5,0.0963556914927595,0.1344339431963133,0.22961434553226662
c2h_n2d0_j1d5_f2d0__n1d0_j1d5_f1d0,E150,174.83941679400124,7.5,0.09658082289743168,0.13492470353006092,0.23089163345739205
