line_id,molecule,transition,E(K),Aij(s-1),freq
h2_v1_j7__v0_j5,h2,v1_j7__v0_j5,7837.50121748,3.954e-07,163307.02774724696
h2_v1_j7__v1_j5,h2,v1_j7__v1_j5,1976.30948988,5.436e-08,41179.60811044738
h2_v1_j8__v0_j10,h2,v1_j8__v0_j10,2843.97563348,3.256e-08,59258.837070847025
h2_v1_j8__v0_j8,h2,v1_j8__v0_j8,5691.28236059,2.486e-07,118587.0828709265
h2_v1_j8__v0_j6,h2,v1_j8__v0_j6,8046.6262928,3.537e-07,167664.48729082695
h2_v1_j8__v1_j6,h2,v1_j8__v1_j6,2234.69902646,1.048e-07,46563.572469617946
h2_v1_j9__v0_j11,h2,v1_j9__v0_j11,2555.81080366,2.065e-08,53254.45626714917
h2_v1_j9__v0_j9,h2,v1_j9__v0_j9,5620.55031384,2.435e-07,117113.26615298336
h2_v1_j9__v0_j7,h2,v1_j9__v0_j7,8231.19998739,2.982e-07,171510.37906518416
h2_v1_j9__v1_j7,h2,v1_j9__v1_j7,2476.01311732,1.821e-07,51591.74226995984
h2_v1_j10__v0_j12,h2,v1_j10__v0_j12,2280.65726765,1.262e-08,47521.18683687201
h2_v1_j10__v0_j10,h2,v1_j10__v0_j10,5543.34451643,2.385e-07,115504.5583582384
h2_v1_j10__v0_j8,h2,v1_j10__v0_j8,8390.65124354,2.341e-07,174832.8041583179
h2_v1_j10__v1_j8,h2,v1_j10__v1_j8,2699.36888295,2.917e-07,56245.721287391374
h2_v1_j11__v0_j13,h2,v1_j11__v0_j13,2018.86490147,7.396e-09,42066.319013384644
h2_v1_j11__v0_j11,h2,v1_j11__v0_j11,5460.02804945,2.337e-07,113768.52486907484
h2_v1_j11__v0_j9,h2,v1_j11__v0_j9,8524.76755819,1.678e-07,177627.3347249043
h2_v1_j11__v1_j9,h2,v1_j11__v1_j9,2904.21724436,4.374e-07,60514.0685721293
h2_v1_j12__v0_j14,h2,v1_j12__v0_j14,1770.55469473,4.129e-09,36892.37381110853
h2_v1_j12__v0_j12,h2,v1_j12__v0_j12,5370.96532057,2.293e-07,111912.75870931809
h2_v1_j12__v0_j10,h2,v1_j12__v0_j10,8633.65256934,1.054e-07,179896.13023047612
h2_v1_j12__v1_j10,h2,v1_j12__v1_j10,3090.30805292,6.21e-07,64391.57187244608
h2_v1_j13__v0_j15,h2,v1_j13__v0_j15,1535.65487405,2.177e-09,31997.85571546143
h2_v1_j13__v0_j13,h2,v1_j13__v0_j13,5276.51429459,2.253e-07,109944.71865516531
h2_v1_j13__v0_j11,h2,v1_j13__v0_j11,8717.67744257,5.32e-08,181646.92451085552
h2_v1_j13__v1_j11,h2,v1_j13__v1_j11,3257.64939312,8.418e-07,67878.39964178066
h2_v1_j14__v0_j16,h2,v1_j14__v0_j16,1313.93545095,1.07e-09,27377.97254408281
h2_v1_j14__v0_j14,h2,v1_j14__v0_j14,5177.01909816,2.219e-07,107871.57514255273
h2_v1_j14__v0_j12,h2,v1_j14__v0_j12,8777.429724,1.668e-08,182891.96004076226
h2_v1_j14__v1_j12,h2,v1_j14__v1_j12,3406.46440343,1.097e-06,70979.2013314442
h2_v1_j15__v0_j17,h2,v1_j15__v0_j17,1105.03995982,4.819e-10,23025.29675882655
h2_v1_j15__v0_j15,h2,v1_j15__v0_j15,5072.80312516,2.191e-07,105700.06660658475
h2_v1_j15__v0_j13,h2,v1_j15__v0_j13,8813.6625457,4.735e-10,183646.9295462886
h2_v1_j15__v1_j13,h2,v1_j15__v1_j13,3537.14825111,1.381e-06,73702.21089112332
h2_v1_j16__v0_j18,h2,v1_j16__v0_j18,908.51359609,1.933e-10,18930.351770092
h2_v1_j16__v0_j16,h2,v1_j16__v0_j16,4964.16267011,2.171e-07,103436.36682332291
h2_v1_j16__v0_j14,h2,v1_j16__v0_j14,8827.24631732,8.087e-09,183929.96942179283
h2_v1_j16__v1_j14,h2,v1_j16__v1_j14,3650.22721916,1.686e-06,76058.39427924009
h2_v1_j17__v0_j19,h2,v1_j17__v0_j19,723.82745245,6.617e-11,15082.116937709154
h2_v1_j17__v0_j17,h2,v1_j17__v0_j17,4851.36103781,2.16e-07,101085.96217459816
h2_v1_j17__v0_j15,h2,v1_j17__v0_j15,8819.12420315,4.178e-08,183760.73202235636
h2_v1_j17__v1_j15,h2,v1_j17__v1_j15,3746.32107799,2.004e-06,78060.66541577161
h2_v1_j18__v0_j20,h2,v1_j18__v0_j20,550.39878252,1.791e-11,11468.449797312447
h2_v1_j18__v0_j18,h2,v1_j18__v0_j18,4734.62297384,2.156e-07,98653.53559846063
h2_v1_j18__v0_j16,h2,v1_j18__v0_j16,8790.27204929,1.025e-07,183159.55068148792
h2_v1_j18__v1_j16,h2,v1_j18__v1_j16,3826.10937919,2.325e-06,79723.18385837335
h2_v1_j19__v0_j21,h2,v1_j19__v0_j21,387.607426,3.296e-12,8076.428304935378
h2_v1_j19__v0_j19,h2,v1_j19__v0_j19,4614.12923318,2.162e-07,96142.85341758317
h2_v1_j19__v0_j17,h2,v1_j19__v0_j17,8741.66281854,1.902e-07,182146.6986544722
h2_v1_j19__v1_j17,h2,v1_j19__v1_j17,3890.30178073,2.638e-06,81060.73647987403
h2_v1_j20__v0_j22,h2,v1_j20__v0_j22,234.80865834,2.854e-13,4892.618580690135
h2_v1_j20__v0_j20,h2,v1_j20__v0_j20,4490.01095458,2.177e-07,93556.64812015193
h2_v1_j20__v0_j18,h2,v1_j20__v0_j18,8674.2351459,3.034e-07,180741.7339213001
h2_v1_j20__v1_j18,h2,v1_j20__v1_j18,3939.61217206,2.933e-06,82088.1983228395
h2_v1_j21__v0_j23,h2,v1_j21__v0_j23,91.34269673,2.697e-15,1903.2729814606294
