Av,G0,Pth,angle,lines
,1e0,1e5,0,13c_o_j1__j0 13c_o_j2__j1 13c_o_j3__j2
,1e1,1e5,0,13c_o_j1__j0 13c_o_j2__j1 13c_o_j3__j2
,1e2,1e5,0,13c_o_j1__j0 13c_o_j2__j1 13c_o_j3__j2
,1e3,1e5,0,13c_o_j1__j0 13c_o_j2__j1 13c_o_j3__j2
,1e4,1e5,0,13c_o_j1__j0 13c_o_j2__j1 13c_o_j3__j2
,1e5,1e5,0,13c_o_j1__j0 13c_o_j2__j1 13c_o_j3__j2
